CUPS;Fecha;Hora;AE_kWh;REAL/ESTIMADO
ES0031405256532001ME0F;24/09/2020;2;0,078;R
ES0031405256532001ME0F;24/09/2020;3;0,057;R
ES0031405256532001ME0F;24/09/2020;4;0,136;R
ES0031405256532001ME0F;24/09/2020;5;0,076;R
ES0031405256532001ME0F;24/09/2020;6;0,048;R
ES0031405256532001ME0F;24/09/2020;7;0,128;R
ES0031405256532001ME0F;24/09/2020;8;0,05;R
ES0031405256532001ME0F;24/09/2020;9;0,068;R
ES0031405256532001ME0F;24/09/2020;10;0,133;R
ES0031405256532001ME0F;24/09/2020;11;0,206;R
